tweet_positivity,important_words_rate,uppercase_letters,words_starting_with_capital,all_caps_words,tweet_text,reference,verdict
neutral,0.7115384615384616,0,0,0,`` london bridge ice cream truck song totally head . plus get ice cream . ,77,1
neutral,0.7549019607843137,5,5,0,Spacious 1 conversion seek 1-2 bed London ( Tufnell Park_ Price : Â£219_950 ) ,78,1
neutral,0.5118110236220472,5,3,0,Day 2 London Riots/Looting - ibeg stop ! londonRiots # tottenham ,79,1
negative,0.7536231884057971,7,5,1,Ok seriously im cry Im even London_ Ontario ! WTF ? ,80,1
neutral,0.6046511627906976,4,4,0,Evening drink Slug & Satellite ... # 3/365 @ London ,81,1
neutral,0.7142857142857143,3,3,0,Amazed reading chef come knife draw fight away crowd & protect guest . Hope London get back control ,82,1
neutral,1.0,3,2,0,London Alcoholling hoy se impone ! hitback giveit back londonRiots # tottenham ,83,0
positive,0.7720588235294118,15,10,1,Pele play feud Teixeira_ urge World Cup unity : Martyn Herman LONDON ( Reuters ) - Brazil great Pele ... ,84,1
positive,0.6190476190476191,4,4,0,love smell London Town . Police car set fire London ,85,0
neutral,0.6363636363636364,4,4,0,Prayers Tonight Go London ! ,86,1
positive,0.6470588235294118,9,5,1,ShanRogerThat RT @ AaronSpartz : old gon na live London Nop ! < ? ,87,1
positive,0.6666666666666666,2,2,0,land Philadelphia_ two hour til flight London ! : ) ,88,1
neutral,0.6746987951807228,2,2,0,Police car set fire London police tottenham # brutality ,89,1
negative,0.6532258064516129,14,8,1,LONDON > Apt / Houses Rent > Â£100 1br - flat rent Kingsway Square Battersea SW11 ,90,1
positive,0.75,2,2,0,@ giovannafalcone would thought_ little piece Morocco basement central London : - ) ,91,1
positive,0.7450980392156863,10,8,1,Commerce Media Technology 5+ PQE - Greater London United Kingdom- ... # job ,92,1
positive,0.6142857142857143,5,4,1,Thanks y'all send prayer London ! TL full super kind message ! Thank much support < 3 ,93,1
neutral,0.6893203883495146,19,9,2,Lauren London : Samuel Lennox Baby Name | INN BASEMENT : via @ AddThis ,94,1
neutral,0.6691176470588235,8,8,0,Selfridges Boating Lake Roof ! â€“ Visit London Blog : arrival rooftop_ six floor Oxford ... ,95,1
neutral,0.8115942028985508,15,12,2,RT @ Careerjet_ie Band 6 MSK Paediatric Physiotherapist need Kent : Labmed Recruitment Ltd Ireland London - ... ,96,1
positive,1.1136363636363635,8,2,1,@ BREEZY_Bitches haha_ whats london like : ) ? X ,97,1
positive,0.5838926174496645,4,4,0,# riot sign time . Let pray # London still stand wake lol Police car set # fire London ,98,1
negative,0.717741935483871,5,4,0,@ KayleeJade_ confusing ! Even tho see Lacey every often life London still get mixed ! x ,99,1
positive,0.6190476190476191,4,4,0,think Twitter become disease . gon na slow back Riyadh . Last 5 hour London ! ,100,1
positive,0.7841726618705036,3,3,0,London train nightmare today . First burst water pipe Croydon signal failure due vandalism - chaos journey ! ,101,1
positive,0.7894736842105263,0,0,0,come # follower live far away me.. london _ africia ? lol . ,102,1
positive,0.7352941176470589,11,9,0,Deals London East : 78 % Night Live Music Entertainment ... Groupon MyCityDeal cardiff deal # daily ,103,1
negative,0.7044025157232704,3,3,0,Morons town apparently take hint moron London Birmingham & thing kick near town centre ohfuck fuckingmob # riot ,104,0
neutral,0.4810126582278481,1,1,0,London riot : tottenham london # riot ,105,0
neutral,0.4810126582278481,1,1,0,London riot : tottenham london # riot ,106,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,107,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,108,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,109,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,110,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,111,0
neutral,0.5434782608695652,4,3,1,RT @ Maryum London riot : tottenham london # riot ,112,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,113,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,114,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,115,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,116,0
neutral,0.4880952380952381,3,2,1,RT London riot : tottenham london # riot ,117,0
positive,0.4068965517241379,3,2,1,jnagasaki watch @ jaywonjuwonlo live performance London RT ,118,1
neutral,0.7109375,16,3,3,WHATS RIOTS LONDON ? ! outside surrounded security team ? scaredshitless # inlondonin3days ,119,1
positive,0.6170212765957447,2,2,0,@ Gileraa aww like that_ otherwise London teach go kart ! ,120,1
positive,0.6290322580645161,13,8,1,MapMeLive London taxi PHV driver license # TfL . Right Shepherds Bush_ London ,121,1
neutral,0.6770833333333334,2,2,0,Transport London tackle commuter delay designate suicide station ,122,1
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,123,0
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,124,0
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,125,0
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,126,0
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,127,0
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,128,0
neutral,0.8263888888888888,15,14,1,London Burns_ Dow Slaughtered_ Flash Mobs Grip US Cities ... Obama Vineyard Vacation Still Go : wakeup shoutout # fire ,129,0
negative,0.6956521739130435,0,0,0,bad south london fam dnt care . ,130,1
negative,0.972972972972973,6,4,0,@ DanDSouza1 Late night limo tour south London Early birthday present . ,131,1
positive,0.8378378378378378,4,2,1,do NYC ..headin London . : - ) ,132,1
neutral,1.0930232558139534,3,2,0,@ 2cajuman2 London Eye ? # noknowledgeofLondon ,133,1
negative,0.5517241379310345,3,3,0,Random statue near London Tower ,134,1
positive,0.8682170542635659,18,15,3,Job Leading IB ( London ) : VP Front Office Interest Rates Exotic Derivatives Quan ... Quant IB Finance job 108 ,135,1
neutral,0.6463414634146342,7,7,0,Group Internal Auditor London British Jobs # Auditor ,136,1
positive,0.7573529411764706,18,7,3,HIV epidemic emerge M.East_ N.Africa - study : LONDON ( Reuters ) - Epidemics HIV emerge among gay ... ,137,1
positive,0.7573529411764706,18,7,3,HIV epidemic emerge M.East_ N.Africa - study : LONDON ( Reuters ) - Epidemics HIV emerge among gay ... ,138,1
neutral,0.8125,3,3,0,@ bethwieczorek omg jealous_ London like bee knee ! Bring back big Ben candle ,139,1
negative,0.8307692307692308,0,0,0,@ electronicrumor edl . thats home grown enfield son know . fuckin edl aint even london fuck edl hometown . ,140,1
negative,0.8793103448275862,1,1,0,@ jamaledwards keep us post ! London tense tonight ,141,1
positive,0.5979381443298969,8,4,1,ItsMeBeaa RT @ AaronSpartz : old gon na live London * < ? ,142,1
neutral,0.8676470588235294,8,7,1,Ferrari Berlapis Emas Meraung di London : Monster bertenaga 673 HP itu dimiliki salah satu putra orang kaya terke ... ,143,1
neutral,0.8235294117647058,4,3,0,Looks like get real across London tonight # LondonRiots ,144,1
positive,0.5170068027210885,9,9,0,Top Down_ Bottom Up_ Indside `` Violence Erupts North London via @ theblaze ,145,0
negative,0.8676470588235294,12,8,0,â€œ @ AbouGehad : Former Mayor London Ken Livingstone @ BBCnews speak `` despair_ anger destitute heart # LondonRiots â€ ,146,1
neutral,0.7946428571428571,5,4,0,@ Remel_London yeahhh.. Dazzle Artist.. Artworks inda download ! lil personal message go ,147,1
positive,0.84375,2,1,0,@ Rebecca_London wats wit u..everything good sweety ? ,148,1
positive,0.635036496350365,3,3,0,Seen nice jacket now_ tempt get back London wear nice suit ! Better bed broke_ night x ,149,1
neutral,0.7697841726618705,6,5,1,RT : riot ukriots londonburn # Racistattack makdude babyayh @ mmhd London Birmingham Liverpool well next ? ,150,0
neutral,0.5882352941176471,7,7,0,Gaga ca take year like Beyonce - News London_ Aug 3 : Lady Gaga never follo ... ,151,1
neutral,0.71,5,5,0,Morning . Day 2 Pioneer meet greets . Last one London around country . ,152,1
neutral,0.7857142857142857,7,5,0,Made tea four police officer street north London . One 30+ hour shift Heroes . # OperationCupofTea ,153,1
positive,0.41496598639455784,3,2,1,chantyluv23 watch @ jaywonjuwonlo live performance London RT ,154,1
neutral,0.8235294117647058,8,7,1,Ferrari Berlapis Emas Meraung di London : Monster bertenaga 673 HP itu dimiliki salah satu putra orang kaya ... ,155,1
neutral,1.0,1,1,0,miss London ! ,156,1
positive,0.7422680412371134,3,2,0,@ Lucky_Nomi london alright ! Building two site pr company_ bad gig ! ? ,157,1
negative,0.7642857142857142,1,1,0,@ misversatile ppl r stupid mashin da ! watch wen put london lock ! Mark word ur gon na c cop every corner ,158,1
positive,0.7841726618705036,3,3,0,London train nightmare today . First burst water pipe Croydon signal failure due vandalism - chaos journey ! ,159,1
positive,0.6378600823045267,15,10,0,10 buck London drug = whole lot fun rioting . ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,160,0
positive,0.8191489361702128,1,0,0,@ hughiiie haha live ? : ] london pretty amazing ! lmao_ need go europe ! xD ,161,1
negative,0.6857142857142857,2,2,0,Hit bar east London sick tune need bottle ! decide brother wray nephew 8 hour debauchery follow ,162,1
negative,0.6078431372549019,4,2,1,WTF London burning ! # londonriots spain_ least far bank go ? ,163,1
neutral,1.0294117647058822,1,1,0,5oosh jaaaawww 3ajeeeeeeb # London ,164,1
positive,0.8888888888888888,3,2,0,# NP_ @ duranduran -- London 05_ `` save prayer ,165,1
positive,0.7194244604316546,5,4,0,@ ImbolcFire move Glossop last week_ 3 year London bridge/borough_ hop get good acquaint Bleaklow . ,166,1
neutral,0.47692307692307695,6,4,1,SEO Analytics Manager - London ,167,1
neutral,0.8582089552238806,14,11,1,RT @ Monsterjobs_uk # Jobs Senior Java Analyst Programmer move in2 Banking/Finance : London-London City London ... ,168,1
neutral,0.8125,3,3,0,@ bethwieczorek omg jealous_ London like bee knee ! Bring back big Ben candle ,169,1
neutral,0.6897810218978102,20,12,1,idowu_jay RT @ iKilledMario : people must think London Ibadan zoo share gateman ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,170,0
neutral,0.5641025641025641,8,5,2,LSE Break tie Gaddafi son Libya london # UK ,171,1
positive,0.9428571428571428,1,1,0,@ badmankhanx lol oh c isit q sleep ovum ? London rock rule lol x ,172,1
neutral,0.42857142857142855,8,5,0,Today # AUSContenders triple Emma treat Olympic # triathlon qualifier London ... @ emmasnowsill ,173,1
neutral,0.8059701492537313,6,3,1,RT @ MissReeBby : riot touch east london essex . Amen ,174,1
positive,0.6785714285714286,1,1,0,@ jackmaple1 good thanks_ enjoy leave holiday : ) go London soon_ ca wait ! ,175,1
positive,0.5035460992907801,6,4,0,@ ThatKevinSmith London shit hit fan_ need ? right - Immodium Google ! ,176,1
positive,0.635036496350365,3,3,0,Seen nice jacket now_ tempt get back London wear nice suit ! Better bed broke_ night x ,177,1
positive,0.8602941176470589,17,12,2,Privacy Protection New Features Key Journal Home Free ... : London_ UK ( PRWEB ) August 8_ 2007 . age people hav ... ,178,1
neutral,0.6470588235294118,10,9,0,London Two Lectureships/Senior Lectureships History Asian Art : Courtauld Institute ... ,179,1
neutral,1.01,7,2,0,har undrat en vecka vad jag gÃ¶r London . ikvÃ¤ll fick jag veta . kan du gissa ? # TheDeerTracksUKTour ,180,1
neutral,0.7217391304347827,5,3,1,London Riots : attention people birmingham police shot BBC news please vigiliant . ,181,1
positive,0.5808823529411765,11,9,0,Latest Online Deal London : 95 % Fashion Shoot Prints : Groupon MyCityDeal ... ,182,1
negative,0.7266187050359713,0,0,0,hard single mum & chill block gettin wavey niggas..whos hitting house party north london ? holla sho ,183,1
neutral,0.946969696969697,13,10,2,Oh chale RT @ Kwame_Moore : Say > RT @ fortunedane : Ghanaians dey hear London oo ! Eeiiiii ... .. Dis riot di333 unless God ,184,1
neutral,0.5571428571428572,14,8,2,RT @ Dputamadre : PHOTOS ~~~ > London riot Big Picture - Londonriots # Photos ,185,1
neutral,0.8759124087591241,20,12,4,RT @ Mathfi_Jobs Job IB ( London ) : SVP-Director_ FX et Interest rates.+ Numerous year wo ... Quant IB Finance job 108 ,186,1
neutral,0.5882352941176471,8,8,0,Sarah Jessica Parker like use star status - News London_ Aug 6 : Actress Sa ... ,187,1
positive,0.5671641791044776,1,1,0,10 buck London drug = whole lot fun . ,188,1
negative,0.6787878787878788,16,11,0,thought go people Tottenham & # London . know hurt see city go flames . hope heal come fast ! whats wrong london : ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,189,0
negative,0.7094017094017094,9,7,2,Random aka Mega Ran show 08/04/2011 08:00 PM @ Portobello ... London_ UK # concert ,190,1
neutral,0.75,0,0,0,london born breed ,191,1
positive,0.538860103626943,19,13,2,Video Real Sh*t : Amazing West Indian Woman Speaking Truth London Rioters ! via @ worldstar TELL LIKE ! ,192,1
positive,0.9108910891089109,2,2,0,another person ( surround ) go London_ Arsenal basecamp exactly ! turn green w/ envy # huuf ,193,1
neutral,0.6981132075471698,2,2,0,Riot London follow police shoot father four_ double decker bus set ablaze ,194,1
positive,0.5857142857142857,5,5,0,Oh yes_ make sure talk weather go Wednesday next Cricket test match London Sure . ,195,1
positive,0.7619047619047619,2,1,0,20 day # london ! 29 Spain . =D ,196,1
neutral,0.8373983739837398,14,11,2,Job IB ( London ) : Associate Multi-Asset Structurer.+ Fluent English et e ... Quant IB Finance job 42 ,197,1
neutral,0.7339449541284404,6,3,1,idowu_jay RT @ iKilledMario : people must think London Ibadan zoo share gateman ,198,1
positive,0.9375,42,6,5,BURBERRY PRORSUM SPRING/SUMMER 2010 WOMEN / LIVE LONDON ... ,199,1
neutral,0.7714285714285715,7,6,0,London ! â€œ @ MusicPromotions : Rumors rumble Janet Jackson engaged..rumors also rumble Hanson town soon ! â€ ,200,1
neutral,0.5636363636363636,1,1,0,London riot : generation respect parent police via @ guardian ,201,1
negative,0.6134453781512605,9,5,1,BarbsRihaNation RT @ AaronSpartz : old gon na live London ? Hell lol < ? ,202,1
neutral,0.8333333333333334,1,1,0,London still riot ? ,203,1
neutral,0.8602941176470589,16,13,0,Java Web Team Leader â€“ Central London -Â£60-65K : London-London_ Java Web Team Leader â€“ Central London -Â£60-65K â€¢ ... ,204,1
negative,0.7358490566037735,3,2,0,@ TheRock crazy ! spread like disease_ outside well inside london . Madness ! ,205,1
positive,0.86,3,3,0,Damn # paulsboutique bag come London ? Lol ,206,1
positive,0.7037037037037037,6,4,0,@ chick_tech well_ send me_ rest team luck . Shipping around CA_ NY_ London_ etc expensive lol ,207,1
positive,0.8602941176470589,17,12,2,Privacy Protection New Features Key Journal Home Free ... : London_ UK ( PRWEB ) August 8_ 2007 . age people hav ... ,208,1
negative,0.5753424657534246,19,12,1,hey @ vtj3 check BBC news Disturbance London protest - : / ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,209,0
neutral,0.47878787878787876,1,1,0,@ selenagomez meet girl London ! watch video shes amaazing ! @ saundersshannon ,210,1
positive,0.4369747899159664,2,2,0,glad home day disruption mainline Brighton London . ,211,1
neutral,0.717948717948718,4,4,0,Pop artist bore . London - Vanessa Carlton # nowplaying ,212,1
neutral,0.8404255319148937,14,8,0,@ TheREALHeemDee London Riots_ bring Dunkin Donuts . London Riots run Dunkin . ,213,1
neutral,0.8636363636363636,9,6,0,@ KingFredWeasley London Wizarding World Harry Potter xD ,214,1
negative,0.6618705035971223,1,1,0,@ dburrows yes depress . thankful live London anymore_ big part heart still & heartbreaking ,215,1
neutral,0.6985294117647058,2,2,0,iphone 4 ipad 2 ( East London ) : iphone 4 16 gigabyte use one week come charger usb cable ... ,216,1
negative,0.640625,15,4,3,20 OLD LIVES LONDON ! > < Stupid slut .. ,217,1
positive,0.6714285714285714,2,2,0,thought go people Tottenham & # London . know hurt see city go flames . hope heal come fast ! ,218,1
negative,0.598705501618123,15,9,0,read mini-heatwave go lOndon . 40 degree weather past 5 weeksâ€¦lol let check ( vid ) London Riots - Police Overrun Woolwich Uksucks UKRiots LondonRiots # londonZooAttack| Nothing animal ,219,0
positive,0.7720588235294118,15,11,0,Nurse Practitioner : Recovery Practitioner/ Nurse London Full Time Permanent GBP25_000 - GBP31_000 . ... ,220,1
positive,0.6062992125984252,4,4,0,@ vogue_london : Lara Stone love Ck One new men fragrance_ favourite smell : ,221,1
neutral,0.6515151515151515,7,6,1,Sony â€™ London CD Warehouse Destroyed Riots ,222,1
positive,0.46296296296296297,6,3,1,AlwaysLovinT laidbaktelle watch @ jaywonjuwonlo live performance London RT ,223,1
negative,0.8333333333333334,4,4,0,England 2 week ! London_ Canterbury Cathedral . phone_ facebook_ twitter_ limit email sport . # beyondexcited ,224,1
positive,0.8257575757575758,1,1,0,north east borough London hundred young people riot tonight : police cars_ bus_ shop burnt . # tottenhamriot ,225,1
negative,0.7352941176470589,5,4,1,# Protest London burn : Riots spread UK capital city : past year see mass protest ... # feesprotest ,226,1
neutral,0.8064516129032258,3,1,0,9jA make nyt ... ..england sha blame # LondonRiot ,227,1
neutral,0.7205882352941176,15,15,0,Lady Gaga Tickets O2 London Concerts Monster Ball Tour : Lady Gaga Tickets O2 London Concerts ... ,228,1
neutral,0.6119402985074627,5,5,0,# ebz `` Bazaar require London Magazine change name . London Magazine survive ... ,229,1
neutral,0.8373983739837398,14,11,2,Job IB ( London ) : Associate Multi-Asset Structurer.+ Fluent English et e ... Quant IB Finance job 42 ,230,1
neutral,0.5666666666666667,3,3,0,Oh gosh_ London kill heat wave . like back Spain ! ,231,1
neutral,0.5795454545454546,2,1,0,# quote ca wait inspiration go club . -Jack London ,232,1
neutral,0.5333333333333333,6,5,1,Stables @ Camden Town London UK ,233,1
positive,0.6666666666666666,1,1,0,Excited fan mail way # london . ,234,1
negative,0.6216216216216216,1,1,0,crazy shit go London ! ,235,1
